"maize_strain","mean_value_oil","sd_value_oil","p_id","mean_value_starch","sd_value_starch","mean_value_protein","sd_value_protein","mean_value_tassel","sd_value_tassel","mean_value_silk","sd_value_silk"
"B73",3.52782205746061,0.566708085040533,1,69.4840500463392,2.35952363067777,13.2901204819277,1.83411615824778,74.717288491855,8.37281607379396,75.6479321314952,8.75902647520085
"B97",3.98826086956522,0.487858378119562,2,68.484347826087,1.66250367040385,12.3413043478261,0.826781198237148,75.1518987341772,8.74875611318977,77.3589743589744,8.32610409039001
"CML103",4.23972972972973,0.758336946828338,3,69.4305405405405,2.47032942691405,13.0064864864865,2.04421978625943,83.3924050632911,10.0949564984509,82.4810126582279,10.8425334813737
"CML228",5.37888888888889,0.915634267112755,4,66.4911111111111,3.82442624600228,14.22,1.20794246551729,89.4576271186441,8.16494194902671,89.9772727272727,8.45092161305124
"CML247",3.43433333333333,0.524612719772526,5,62.5226666666667,2.53072421600444,15.2913333333333,0.871276247151599,91.7068965517241,10.4931199191772,93.4,11.2358553054249
"CML277",3.92566666666667,0.363552238179134,6,67.5256666666667,2.17605413746887,12.6893333333333,0.520026082458161,86.8421052631579,5.03838648238349,87.9583333333333,4.34647489025661
"CML322",5.44756097560976,0.483961674555976,7,63.9309756097561,2.19939173963854,14.6570731707317,1.28943639607086,83.4864864864865,11.1013305919054,84.8732394366197,10.2342974878798
"CML333",5.51828571428571,0.700913209842055,8,65.2914285714286,1.71336981835615,13.778,1.31464555724213,83,8.18977800481282,85.0428571428571,8.16928804001581
"CML52",4.4192,0.51435169550286,9,67.664,2.2756922023859,14.2776,1.73868312236589,95.3272727272727,10.5796004710928,97.1,10.1849562263828
"CML69",4.5341935483871,0.638251644173615,10,66.1429032258064,2.02247240368217,13.6825806451613,0.662057236911006,88.5833333333333,10.7477478806977,88.6031746031746,11.120367368235
"HP301",4.11,0.394799527186478,11,61.81,1.68831276723242,13.125,0.680514511233964,74.75,10.9119855467018,76.75,11.8291407730474
"Il14H",6.51192307692308,0.830228976756505,12,63.6684615384615,1.61733532035306,16.5684615384615,1.06142806560856,68.9324324324324,7.822221737226,70.3918918918919,8.49305528961964
"KI3",4.51735294117647,0.651400862586907,14,63.6620588235294,2.26360503489692,13.2829411764706,0.892533097295709,86.3647058823529,9.11807083139161,86.4324324324324,8.84893164526065
"Ki11",4.68757575757576,0.376198337840479,13,64.1951515151515,2.82338573481835,14.0724242424242,1.06765815661847,87.741935483871,10.6354425773186,89.9310344827586,10.7276688806481
"Ky21",3.56638888888889,0.473667470928576,15,67.1097222222222,1.96521679808922,13.8672222222222,1.14518772287993,81.6025641025641,8.18033712128757,83.9733333333333,8.34391400368562
"M162W",4.337,0.615658604456544,16,67.2506666666667,2.26181180553957,12.8573333333333,0.9504116470512,84.027397260274,7.52398498643528,83.4520547945205,7.93907547075157
"M37W",3.49411764705882,0.35895570459454,17,67.9873529411765,3.07641498247311,14.2829411764706,1.31217730096287,79.2236842105263,8.16431043703513,81.6164383561644,8.55315103888993
"MO18W",4.07147058823529,0.436286897218438,19,67.9529411764706,1.62063872446107,12.5494117647059,1.1524885884572,87.8701298701299,10.1739484770904,90.9692307692308,10.5637487882635
"Ms71",4.13,0.408956543590459,20,64.5721739130435,2.20757159159467,14.2013043478261,1.13527050980583,71.5333333333333,7.22296138513637,72.44,7.82622065429603
"NC350",5.1721875,0.657079237991888,21,66.9875,1.86535130307161,15.443125,1.41823933896245,82.8857142857143,9.47237456592508,82.2923076923077,10.2190433091286
"NC358",3.88519230769231,0.425940667803261,22,68.2105769230769,1.69234657075182,12.3923076923077,0.945954472611338,79.3243243243243,11.0020024430277,79.9594594594595,11.2267283676412
"Oh43",3.42052631578947,0.477045792852166,23,68.6684210526316,3.50801285577769,13.1165789473684,1.46302403652049,70.6410256410256,7.29699165725762,71.7397260273973,7.89695334582386
"Oh7B",5.33291666666667,0.556694273809919,24,67.0791666666667,3.108774281969,14.3658333333333,2.52038457498,84,10.0358731558345,85.3015873015873,9.61288604348337
"P39",8.373125,1.17030320145394,25,58.725,2.07834228813896,17.81375,1.25777515213703,65.2837837837838,6.60120427010283,67.2432432432432,7.19362505223041
"Tx303",3.78138888888889,0.358147238498979,26,68.115,1.7605851300065,12.7611111111111,1.36703177469138,83.2105263157895,10.5796229163724,86.0933333333333,10.6570283030614
"Tzi8",5.26333333333333,0.942744830848705,27,64.2816666666667,3.38781801747677,16.251,2.34960796436488,87.2987012987013,9.63281799380165,88.5333333333333,8.85756722667919
