"maize_strain","mean_value","sd_value","indi_count_per_pop_trait"
"B73",13.2901204819277,1.83411615824778,1079
"B97",12.3413043478261,0.826781198237148,46
"CML103",13.0064864864865,2.04421978625943,37
"CML228",14.22,1.20794246551729,9
"CML247",15.2913333333333,0.871276247151599,30
"CML277",12.6893333333333,0.520026082458161,30
"CML322",14.6570731707317,1.28943639607086,41
"CML333",13.778,1.31464555724213,35
"CML52",14.2776,1.73868312236589,25
"CML69",13.6825806451613,0.662057236911006,31
"HP301",13.125,0.680514511233964,4
"Il14H",16.5684615384615,1.06142806560856,26
"KI3",13.2829411764706,0.892533097295709,34
"Ki11",14.0724242424242,1.06765815661847,33
"Ky21",13.8672222222222,1.14518772287993,36
"M162W",12.8573333333333,0.9504116470512,30
"M37W",14.2829411764706,1.31217730096287,34
"MO18W",12.5494117647059,1.1524885884572,34
"Ms71",14.2013043478261,1.13527050980583,23
"NC350",15.443125,1.41823933896245,32
"NC358",12.3923076923077,0.945954472611338,52
"Oh43",13.1165789473684,1.46302403652049,38
"Oh7B",14.3658333333333,2.52038457498,24
"P39",17.81375,1.25777515213703,16
"Tx303",12.7611111111111,1.36703177469138,36
"Tzi8",16.251,2.34960796436488,30
