"maize_strain","mean_value","sd_value","indi_count_per_pop_trait","p_id"
"B73",75.6479321314952,8.75902647520085,1886,1
"B97",77.3589743589744,8.32610409039001,78,2
"CML103",82.4810126582279,10.8425334813737,79,3
"CML228",89.9772727272727,8.45092161305124,44,4
"CML247",93.4,11.2358553054249,55,5
"CML277",87.9583333333333,4.34647489025661,48,6
"CML322",84.8732394366197,10.2342974878798,71,7
"CML333",85.0428571428571,8.16928804001581,70,8
"CML52",97.1,10.1849562263828,40,9
"CML69",88.6031746031746,11.120367368235,63,10
"HP301",76.75,11.8291407730474,8,11
"Il14H",70.3918918918919,8.49305528961964,74,12
"KI3",86.4324324324324,8.84893164526065,74,14
"Ki11",89.9310344827586,10.7276688806481,58,13
"Ky21",83.9733333333333,8.34391400368562,75,15
"M162W",83.4520547945205,7.93907547075157,73,16
"M37W",81.6164383561644,8.55315103888993,73,17
"MO18W",90.9692307692308,10.5637487882635,65,19
"Ms71",72.44,7.82622065429603,75,20
"NC350",82.2923076923077,10.2190433091286,65,21
"NC358",79.9594594594595,11.2267283676412,74,22
"Oh43",71.7397260273973,7.89695334582386,73,23
"Oh7B",85.3015873015873,9.61288604348337,63,24
"P39",67.2432432432432,7.19362505223041,74,25
"Tx303",86.0933333333333,10.6570283030614,75,26
"Tzi8",88.5333333333333,8.85756722667919,60,27
