,maize_strain,mean_value,sd_value,indi_count_per_pop_trait,p_id,log_mean_value,exp_sd_value
0,B73,3.52782205746061,0.566708085040533,1079,1,1.260680699644827,1.7624556372634563
1,B97,3.98826086956522,0.487858378119562,46,2,1.3833552635924151,1.628824156497392
2,CML103,4.23972972972973,0.758336946828338,37,3,1.4444995242239245,2.13472310877221
3,CML228,5.37888888888889,0.915634267112755,9,4,1.6824818266153838,2.4983593766611225
4,CML247,3.43433333333333,0.524612719772526,30,5,1.2338228262948203,1.6898042938479507
5,CML277,3.92566666666667,0.363552238179134,30,6,1.3675361881913026,1.4384299959064855
6,CML322,5.44756097560976,0.483961674555976,41,7,1.6951679810938207,1.6224894618316088
7,CML333,5.51828571428571,0.700913209842055,35,8,1.7080672530493575,2.015592526204831
8,CML52,4.4192,0.51435169550286,25,9,1.4859586842328358,1.6725538260682946
9,CML69,4.5341935483871,0.638251644173615,31,10,1.5116472393936964,1.8931680527536652
10,HP301,4.11,0.394799527186478,4,11,1.4134230285081433,1.4840866420720364
11,Il14H,6.51192307692308,0.830228976756505,26,12,1.873634816118659,2.2938439170753075
12,KI3,4.51735294117647,0.651400862586907,34,14,1.5079261898113754,1.9182261189168965
13,Ki11,4.68757575757576,0.376198337840479,33,13,1.544915552782094,1.4567360309990491
14,Ky21,3.56638888888889,0.473667470928576,36,15,1.2715535681468826,1.6058728988085862
15,M162W,4.337,0.615658604456544,30,16,1.467182864853229,1.8508751928793201
16,M37W,3.49411764705882,0.35895570459454,34,17,1.2510808823123822,1.4318333765269855
17,MO18W,4.07147058823529,0.436286897218438,34,19,1.4040042580834813,1.5469525474735484
18,Ms71,4.13,0.408956543590459,23,20,1.4182774069729414,1.5052463064642871
19,NC350,5.1721875,0.657079237991888,32,21,1.6432957131527226,1.929149511141529
20,NC358,3.88519230769231,0.425940667803261,52,22,1.3571724826440243,1.5310299330691424
21,Oh43,3.42052631578947,0.477045792852166,38,23,1.229794432739816,1.6113072287185415
22,Oh7B,5.33291666666667,0.556694273809919,24,24,1.6738983055197554,1.744894811351912
23,P39,8.373125,1.17030320145394,16,25,2.1250271720491134,3.222969699496754
24,Tx303,3.78138888888889,0.358147238498979,36,26,1.330091373068272,1.4306762555971173
25,Tzi8,5.26333333333333,0.942744830848705,30,27,1.6607645395994404,2.5670177867011756
